step,epoch,train/recon_error,train/loss,val/recon_error,val/loss
49,0,1.0747730731964111,1.951873779296875,,
99,0,0.8411468863487244,1.811509132385254,,
149,0,0.46856313943862915,1.6512668132781982,,
184,0,,,0.8903236389160156,9.30422592163086
199,1,0.3392094373703003,1.8859890699386597,,
249,1,0.26373791694641113,2.103572130203247,,
299,1,0.24790099263191223,2.0133869647979736,,
349,1,0.24646060168743134,2.040203332901001,,
369,1,,,0.6568249464035034,6.404735088348389
399,2,0.21283221244812012,1.9626305103302002,,
449,2,0.24452026188373566,1.8154587745666504,,
499,2,0.2527441382408142,1.9049301147460938,,
549,2,0.19826772809028625,1.6971080303192139,,
554,2,,,0.5656778812408447,5.590225696563721
599,3,0.19579698145389557,1.6364868879318237,,
649,3,0.17083324491977692,1.6295164823532104,,
699,3,0.19225235283374786,1.493186354637146,,
739,3,,,0.8179590702056885,6.178330898284912
749,4,0.18423114717006683,1.4337705373764038,,
799,4,0.19414880871772766,1.4922887086868286,,
849,4,0.17964424192905426,1.434880018234253,,
899,4,0.1805299073457718,1.277780294418335,,
924,4,,,0.46080222725868225,4.554854393005371
949,5,0.18367591500282288,1.2862563133239746,,
999,5,0.18907324969768524,1.3663440942764282,,
1049,5,0.18021437525749207,1.3013066053390503,,
1099,5,0.1613653302192688,1.228820562362671,,
1109,5,,,0.3436068892478943,8.460249900817871
1149,6,0.167688250541687,1.3013249635696411,,
1199,6,0.15128618478775024,1.2326664924621582,,
1249,6,0.15705670416355133,1.3897055387496948,,
1294,6,,,0.3080764710903168,14.141542434692383
1299,7,0.17395278811454773,1.5478944778442383,,
1349,7,0.18732242286205292,1.4390689134597778,,
1399,7,0.16575373709201813,1.2634954452514648,,
1449,7,0.13942046463489532,1.181705355644226,,
1479,7,,,0.5846105217933655,7.33840799331665
1499,8,0.13668900728225708,1.1689865589141846,,
1549,8,0.13771973550319672,1.2081446647644043,,
1599,8,0.1509910374879837,1.3087750673294067,,
1649,8,0.1260085254907608,1.0770896673202515,,
1664,8,,,0.3430638015270233,6.200143337249756
1699,9,0.13683542609214783,1.1887058019638062,,
1749,9,0.12370160967111588,1.2166168689727783,,
1799,9,0.13537906110286713,1.0938777923583984,,
1849,9,0.13795050978660583,1.10019052028656,,
1849,9,,,0.2968904674053192,7.18076229095459
1899,10,0.13397367298603058,1.126311182975769,,
1949,10,0.12929563224315643,1.1653605699539185,,
1999,10,0.12218710035085678,0.9009307622909546,,
2034,10,,,0.4518539011478424,6.735637187957764
2049,11,0.12798914313316345,1.0440119504928589,,
2099,11,0.12769685685634613,0.9264084100723267,,
2149,11,0.13268142938613892,0.901744544506073,,
2199,11,0.12349393218755722,0.8703796863555908,,
2219,11,,,0.4389984905719757,5.15173864364624
2249,12,0.11648764461278915,0.8345428705215454,,
2299,12,0.13949182629585266,1.1083859205245972,,
2349,12,0.13500288128852844,0.9264891147613525,,
2399,12,0.14251013100147247,0.991713285446167,,
2404,12,,,0.41279780864715576,5.564342021942139
2449,13,0.12216925621032715,1.0179271697998047,,
2499,13,0.12785851955413818,0.8813420534133911,,
2549,13,0.12500672042369843,1.0110125541687012,,
2589,13,,,0.24299456179141998,3.6125786304473877
2599,14,0.1171765848994255,0.7319369912147522,,
2649,14,0.11812832206487656,0.7561430335044861,,
2699,14,0.10252875834703445,0.753973126411438,,
2749,14,0.12200465798377991,0.7668354511260986,,
2774,14,,,0.23465944826602936,3.039698600769043
2799,15,0.13531285524368286,0.835422933101654,,
2849,15,0.1143995150923729,0.6151608228683472,,
2899,15,0.12053251266479492,0.6323275566101074,,
2949,15,0.13573117554187775,0.8392338156700134,,
2959,15,,,0.3405962586402893,3.1441023349761963
2999,16,0.10121773183345795,0.7114073038101196,,
3049,16,0.10924313962459564,0.7607139945030212,,
3099,16,0.12723027169704437,0.7325292825698853,,
3144,16,,,0.2699531614780426,2.869980812072754
3149,17,0.12345567345619202,0.7266151905059814,,
3199,17,0.10464897751808167,0.7073354721069336,,
3249,17,0.12902268767356873,0.5988935232162476,,
3299,17,0.11492361128330231,0.6675127148628235,,
3329,17,,,0.2901751697063446,2.8354856967926025
3349,18,0.10836628824472427,0.7103565335273743,,
3399,18,0.10335074365139008,0.7224186658859253,,
3449,18,0.11431571841239929,0.657302975654602,,
3499,18,0.10260701924562454,0.5815962553024292,,
3514,18,,,0.23690016567707062,2.444061756134033
3549,19,0.10120663046836853,0.5692267417907715,,
3599,19,0.12028477340936661,0.6918545365333557,,
3649,19,0.11015607416629791,0.5970655679702759,,
3699,19,0.09171930700540543,0.6783123016357422,,
3699,19,,,0.2229640781879425,2.235976219177246
